id,timestamp,location_timestamp,sim_id,technology,band,ul_arfcn,dl_arfcn,code,ul_bw,dl_bw,plmn_id,lac,rac,cell_id,param1,param2,param3,param4,param5,info,lifetime,source_id,frame_type,node_id,is_synced
173341,73603628383731712,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10631,3,0,0,0
173342,73603628934365184,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10522,3,0,0,0
173343,73603629406617600,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9034,3,0,0,0
173344,73603629957251072,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10458,3,0,0,0
173345,73603630455128064,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9479,3,0,0,0
173346,73603631005696000,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10501,3,0,0,0
173347,73603631277739445,,0,4,-1.0,21300.0,3300,489.0,20,20,43211,44200,,23055619,,,,,,,6600,1,45250,0,0
173348,73603631656206336,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,5957,3,0,0,0
173349,73603632127868928,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8849,3,0,0,0
173350,73603632678371328,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10500,3,0,0,0
173351,73603633229398016,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10504,3,0,0,0
173352,73603633774133248,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10414,3,0,0,0
173353,73603634246189056,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8981,3,0,0,0
173354,73603634300540417,,0,4,-1.0,21300.0,3300,489.0,20,20,43211,44200,,23055619,,,,,,,2201,1,45250,0,0
173355,73603634806587392,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8492,3,0,0,0
173356,73603635278512128,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9013,3,0,0,0
173357,73603635829145600,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10486,3,0,0,0
173358,73603636363395072,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10190,3,0,0,0
173359,73603636914290688,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10527,3,0,0,0
173360,73603637392572416,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9491,3,0,0,0
173361,73603637817139465,,0,4,-1.0,21300.0,3300,489.0,20,20,43211,44200,,23055619,,,,,,,11867,1,45250,0,0
173362,73603638121136128,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,1750,3,0,0,0
173363,73603638593126400,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,8902,3,0,0,0
173364,73603639143694336,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10498,3,0,0,0
173365,73603639629185024,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9290,3,0,0,0
173366,73603640193515520,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10739,3,0,0,0
173367,73603640665309184,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9017,3,0,0,0
173368,73603641216008192,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10492,3,0,0,0
173369,73603641746063360,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,10353,3,0,0,0
