id,timestamp,location_timestamp,temperature,is_battery_charging,battery_charge_percentage,billing_amount,registration_status_id,allocated_memory_percentage,is_network_data_connected,node_id,is_synced
2485,73636606137663488,,73,1,90,,0,45,1,0,0
2486,73636637795418112,,77,1,90,,0,44,1,0,0
2487,73636669304602624,,71,1,90,,0,50,1,0,0
2488,73636700993224704,,72,1,90,,0,50,1,0,0
2489,73636733148594176,,75,1,90,,0,43,1,0,0
2490,73636764619243520,,75,1,90,,0,51,1,0,0
2491,73636796176334848,,79,1,90,,0,49,1,0,0
2492,73636827796733952,,75,1,90,,0,57,1,0,0
2493,73636859310899200,,77,1,90,,0,49,1,0,0
2494,73636890772373504,,80,1,90,,0,57,1,0,0
2495,73636922234634240,,77,1,90,,0,65,1,0,0
2496,73636953745195008,,73,1,90,,0,49,1,0,0
2497,73636985803374592,,80,1,90,,0,57,1,0,0
2498,73637017309085696,,81,1,90,,0,65,1,0,0
2499,73637048902418432,,75,1,90,,0,47,1,0,0
2500,73637080644255744,,75,1,70,,0,54,1,0,0
2501,73637112467226624,,73,1,90,,0,62,1,0,0
2502,73637144451481600,,74,1,90,,0,43,1,0,0
2503,73637176076009472,,75,1,90,,0,45,1,0,0
2504,73637207742742528,,80,1,90,,0,45,1,0,0
2505,73637265349672960,,69,1,90,,0,43,1,0,0
2506,73637296975380480,,79,1,90,,0,50,1,0,0
2507,73637328447012864,,77,1,90,,0,44,1,0,0
2508,73637359931162624,,70,1,90,,0,53,1,0,0
2509,73637391416819712,,75,1,90,,0,44,1,0,0
2510,73637423966912512,,78,1,90,,0,52,1,0,0
2511,73637455977906176,,80,1,70,,0,60,1,0,0
2512,73637487863070720,,73,1,90,,0,47,1,0,0
2513,73637519445327872,,77,1,90,,0,55,1,0,0
2514,73637550988460032,,70,1,90,,0,63,1,0,0
2515,73637573589532672,,77,1,90,,0,70,1,0,0
2516,73637580092604416,,77,1,90,,0,70,0,0,0
2517,73637582896300032,,77,1,90,,0,70,1,0,0
2518,73637614366490624,,73,1,90,,0,51,1,0,0
2519,73637646392426496,,69,1,90,,0,58,1,0,0
2520,73637678220115968,,77,1,90,,0,66,1,0,0
2521,73637709719404544,,75,1,70,,0,52,1,0,0
2522,73637741673644032,,70,1,90,,0,60,1,0,0
2523,73637773274185728,,69,1,90,,0,67,1,0,0
2524,73637804740050944,,71,1,90,,0,49,1,0,0
2525,73637836488441856,,73,1,90,,0,57,1,0,0
2526,73637868097699840,,75,1,90,,0,65,1,0,0
2527,73637899676811264,,74,1,90,,0,51,1,0,0
2528,73637931781586944,,78,1,90,,0,58,1,0,0
2529,73637963253022720,,72,1,90,,0,66,1,0,0
2530,73637994767712256,,75,1,90,,0,48,1,0,0
2531,73638026525671424,,68,1,70,,0,45,1,0,0
2532,73638058008641536,,67,1,90,,0,45,1,0,0
2533,73638089714302976,,80,1,90,,0,46,1,0,0
2534,73638121316483072,,72,1,90,,0,45,1,0,0
2535,73638153295691776,,75,1,90,,0,45,1,0,0
2536,73638184896299008,,75,1,90,,0,44,1,0,0
2537,73638216357511168,,81,1,90,,0,44,1,0,0
2538,73638247823376384,,74,1,90,,0,43,1,0,0
2539,73638279324041216,,79,1,90,,0,45,1,0,0
2540,73638310829096960,,67,1,90,,0,53,1,0,0
2541,73638324490076160,,67,1,90,,0,53,1,0,0
2542,73638330971127808,,73,1,90,,0,46,0,0,0
2543,73638342325043200,,73,1,90,,0,46,1,0,0
2544,73638374030049280,,71,1,90,,0,54,1,0,0
2545,73638405642846208,,77,1,90,,0,46,1,0,0
2546,73638437129551872,,69,1,90,,0,44,1,0,0
