id,timestamp,systemTimestamp,location_timestamp,serving_cell_timestamp,sim_id,technology,direction,category_id,channel_type_id,name_id,name_extra_id,msg_hex,radio_bearer_id,arfcn,code,param1,param2,info,node_id,is_synced
899310,73566258028179545,73566258071915728,,7.356625763645128e+16,0,4,1,2,6,4,0,2410050008128C30B6D3808020,0,3300,490,20.0,34085.0,,0,1
899311,73566258037010547,73566258072649728,,7.356625763645128e+16,0,4,2,2,8,1,0,0812292807A5A930,0,3300,490,20.0,0.0,,0,1
899312,73566258091491785,73566258126179536,,7.356625763645128e+16,0,4,2,2,8,1,0,0812292C07A5A92C,0,3300,490,20.0,0.0,,0,1
899313,73566258145966097,73566258184585216,,7.356625763645128e+16,0,4,2,2,8,1,0,08122A3007A5A930,0,3300,490,20.0,0.0,,0,1
899314,73566258200491123,73566258238691744,,7.356625821473178e+16,0,4,2,2,8,1,0,0812292C07A5A830,0,3300,490,20.0,0.0,,0,1
899315,73566258255016887,73566258293951696,,7.356625821473178e+16,0,4,2,2,8,1,0,0812272807A5AA34,0,3300,490,20.0,0.0,,0,1
899316,73566258309544441,73566258348477648,,7.356625821473178e+16,0,4,2,2,8,1,0,0812272807A5AA38,0,3300,490,20.0,0.0,,0,1
899317,73566258324217636,73566258359225552,,7.356625821473178e+16,0,4,2,2,8,1,0,0810272407A5AB38,0,3300,490,20.0,0.0,,0,1
899318,73566258327784391,73566258370288032,,7.356625821473178e+16,0,4,2,2,8,2,0,10B0,0,3300,489,20.0,0.0,,0,1
899319,73566258332427630,73566258381717504,,7.356625821473178e+16,0,4,1,2,1,0,0,000DD6010691A920E34D1A03844228DB4D0768680D4908438D3405A11304C4228C34A430788D49475A16305A520B1E46A4A3AD0030201388842186844BB0108A30D0000000,0,3300,489,20.0,0.0,,0,1
899320,73566258332428630,73566258381717504,,7.356625821473178e+16,0,4,1,2,1,0,0,00110DA95A0C81533351EC1000A664BE66320528C979AC640A518800,0,3300,489,20.0,0.0,,0,1
899321,73566258332429630,73566258381717504,,7.356625821473178e+16,0,4,1,2,1,0,0,0014920AC24340CE330CA320C6310C2300BE2F0BA2E0B62D0B22C0AF1FF104658C0B62D8961D8560C7FC4119520FD47515435C56F5B56B5A567595635855F5755B56557555535454F5354B6057F5F57B5E5775D5731FF104600000000000000000,0,3300,489,20.0,0.0,,0,1
899322,73566258329105116,73566258381665072,,7.356625821473178e+16,0,4,1,2,1,1,0,60D0C823A191DF59502BF9A07046A310040C21611308D848D0000000,0,3300,489,20.0,43269.0,,0,1
899323,73566258332426630,73566258381665072,,7.356625821473178e+16,0,4,1,2,1,0,0,00088DCB36C8A76800,0,3300,489,20.0,0.0,,0,1
899324,73566258329503302,73566258381769936,,7.356625833243062e+16,0,4,1,2,6,4,0,221015C840000672541000163EA18014415ACB8408C8850DC40638C70DC610686856B203000010044010C23A00E006028800,0,3300,489,20.0,43282.0,,0,1
