number,RSRP,RSSI,RSRQ,SNR,CINR,MOS
716,-106,-73.8880948435562,-187.0,13.580542052977462,10.467330885274576,3.619391009592874
717,-99,-75.0,-228.0,11.21372650669039,8.869990545821294,3.903843260770807
718,-112,-86.0,-288.0,5.52217888748085,3.6764322337985673,3.4043980167575887
719,-94,-62.0,-137.0,18.407940945693063,14.600202895652275,4.042525132873697
720,-103,-67.0,-127.0,15.056806490433658,11.20147763223522,3.733180468950973
721,-89,-60.0,-167.5356294043667,15.539435878320496,11.618353389225692,3.947092821536167
722,-113,-79.0,-169.17233978075464,8.901078308322015,6.51609625914816,3.2399676099306074
723,-111,-71.0,-191.0,8.95236870748426,6.245403148083158,3.3435403128398304
724,-114,-84.0,-284.0,5.0545205173802525,3.429756901987756,3.19519552610965
725,-90,-62.0,-99.50359369222373,16.586093255678424,12.76804173401881,3.927576751371356
726,-85,-54.0,-106.0,23.607588941391526,19.43437484025044,4.01408402300767
727,-92,-66.0,-136.0,16.74603264191531,13.17950466433129,4.289643504875767
728,-101,-66.0,-103.0,16.78571427809841,13.578099109655696,3.6153678954708286
729,-87,-74.00164689822331,-156.5828903385502,14.394104785896191,11.26628818037719,4.214123663285772
730,-103,-72.21645911312396,-115.0,16.943037796916865,13.29359782213071,3.844470668483977
731,-102,-70.0,-207.0,11.336916187073056,9.03937778932367,3.977736408020641
732,-102,-70.0,-165.7413068929838,13.121694573157901,10.141241149973684,3.887065720613356
733,-78,-48.0,-87.0,22.65697973470057,18.091082276952857,4.266911863924231
734,-84,-52.0,-105.0,23.69426518726654,20.62558775614596,3.9383412625295167
735,-87,-61.0,-146.8662828383009,14.284353039551617,10.800234124446238,4.120985843987329
736,-110,-79.11181200929597,-164.07120895531085,13.40424092802743,10.025607703741002,3.2215804028492028
737,-98,-69.48902260461699,-216.0,10.804433837557013,8.614260651694892,3.918108129301659
738,-102,-64.0,-175.0,11.998929605456997,8.35682085666031,3.894294134504423
739,-85,-72.0,-134.0,12.296078580449723,9.15684163311559,4.34558116443471
740,-97,-72.0,-155.86159137029935,16.424863659950294,13.397079187669451,3.548566149978976
741,-85,-72.0,-99.78241807381862,16.040595679956716,12.906124385157296,4.133156569621404
742,-86,-70.0,-164.65784944289982,12.978285846755869,9.489473746958204,3.774661676494449
743,-82,-49.0,-106.0,19.672497689165528,15.548040600864322,3.8886192713776353
744,-92,-60.0,-170.62536151208158,10.97587439428189,8.157699609868557,3.92291758202482
745,-98,-64.0,-105.0,13.315073965623826,8.88798388441811,3.913016698120439
746,-102,-68.0,-139.0,12.611456552770921,9.545921459936269,3.765292345908276
747,-112,-68.81827100831251,-239.0,11.900866564028167,8.709658374410695,3.7475649985631496
748,-79,-51.0,-79.0,22.4240669262634,18.34782240889274,4.352910410749
749,-95,-68.0,-173.47587084435415,16.980940602593737,13.673260002974468,3.997117073201165
750,-85,-72.0,-120.0,12.75033594985761,9.80891909354708,4.395453695380718
751,-114,-82.0,-173.64128109739636,12.270382323332672,10.152009515834608,2.888840702509073
752,-99,-74.0,-238.0,9.571552923915636,7.3352875175171555,3.61740183905075
753,-99,-82.0,-167.37208513364763,11.039422201350863,8.891059848006906,3.8449975537924086
754,-102,-66.0,-135.0,14.936672042142472,11.831001136938038,3.917528686289537
755,-85,-50.0,-85.0,18.67003005711063,14.169554074893442,4.171964081477633
756,-93,-65.0,-165.2784217456672,17.265756961860376,13.389634182238025,3.963806778373677
757,-101,-67.0,-155.0,17.86193685873815,14.566393348550696,3.606058732087445
758,-101,-72.0,-149.0,13.444876920846621,10.436776138568426,3.918608007213667
759,-104,-82.0,-238.0,9.979640897942671,7.175932692581066,3.8857726304433786
760,-87,-61.0,-121.0,15.562684251307,12.243384964969398,4.22654010770533
761,-114,-82.0,-197.0,12.44975670511442,10.156171585970188,3.4457745714833004
762,-108,-77.0,-163.30707652541278,13.553421937670558,10.498281754595649,3.799818620843054
763,-95,-60.0,-168.85866311771005,17.40075805384795,13.650838021990875,4.233482407358307
764,-102,-80.0,-245.06511475930168,8.841536632016348,5.839636002896358,3.638453453531221
765,-92,-61.0,-94.85642084379896,19.283520425852053,14.08682848516452,4.207236815827657
766,-114,-84.0,-275.0,5.10806214370251,4.08542826319561,2.8044771345089723
767,-85,-61.0,-126.0,14.583760810952327,11.032953199751924,4.167687257126548
768,-74,-62.0,-73.0,20.213020421579333,15.231660345615827,4.1274840884676784
769,-100,-70.76459582668915,-131.0,11.8412619681284,9.160337700812851,4.005772999100272
770,-96,-71.0,-164.88980621511382,16.16523837012182,12.892993364081857,4.214999759042612
771,-93,-72.0,-130.0,16.678848909957644,13.472923283651095,3.951984400552549
772,-89,-57.4425156914436,-89.0,22.64599796354004,18.167247940379628,4.460256999623632
773,-98,-72.0,-103.0,13.376795882779263,10.027263193158856,4.185559300611714
774,-99,-67.0,-124.0,17.585648769011673,14.436742034503,4.116296043625046
775,-103,-76.0,-173.64991005828873,11.981852886121231,9.00935418581422,3.90016838669444
776,-101,-76.0,-204.0,7.911586756928658,5.429360222801079,3.11700546820014
777,-88,-73.39949684169044,-135.0,14.820708161923662,11.287868621604218,4.054537876524839
778,-114,-88.0,-288.0,7.911613655723022,7.215255728838064,3.3185168359564887
779,-110,-76.0,-179.26794436997696,9.445739625007432,6.484869639331818,3.6183963845990905
780,-101,-65.0,-138.0,14.420222137651605,11.385101947495476,3.8872886731099103
781,-78,-60.0,-89.0,18.540654779510536,16.447264907517006,3.9070660879404833
782,-105,-70.0,-248.0,10.966835880628835,8.046051586040646,3.4508500291513844
783,-108,-79.59687206974057,-184.73702147318312,10.025689713208116,7.715025509897376,3.307785688163564
784,-86,-55.58006599924389,-120.0,13.783459492198944,10.28832117146263,4.276515861704671
785,-87,-72.0,-157.16350778630917,15.085932172298184,10.57280586972354,4.166806986629332
786,-90,-61.0,-116.0,16.623781368721712,13.531788763232475,3.788912531856621
787,-89,-70.0,-146.0,12.816625088099695,9.52272472583324,4.095175627960323
788,-106,-82.0,-232.0,11.31996377020458,8.683150269621658,3.91494181554026
789,-85,-62.0,-132.0,14.357161979710083,11.207206621882598,4.414500571364672
790,-107,-70.0,-253.0,13.198746703914951,9.479789005131837,3.404747938497884
791,-113,-88.0,-297.0,7.725189722376064,6.076078699678461,3.520369868249961
792,-104,-75.0,-202.0,10.002913022724991,7.320070539300467,3.87146202205801
793,-107,-84.28283960704117,-211.0,9.909910323047937,6.968178301624331,3.5635818997683626
794,-113,-72.0,-229.0,12.28671781605273,10.30298885902243,3.298131022982692
795,-91,-72.0,-141.0,12.798856874951262,9.819265648237474,4.527026274318274
796,-100,-64.0,-179.06789620639435,18.395501124333407,13.608247018016858,3.7945907976451054
797,-95,-66.0,-117.0,12.674749346871332,10.21478487553868,3.850250860536456
798,-98,-82.0,-199.0,9.32117867673426,6.518951340412368,3.956313093744467
799,-97,-66.0,-155.0,15.241494533858075,11.97427677748864,3.905052103091564
800,-103,-60.0,-133.0,14.46623843507679,11.352308188987683,3.700581424277731
801,-101,-72.0,-135.0,13.611929778696132,9.776876921154456,3.997794537750056
